band_level,ngram,n,count,doc_freq,doc_pct,count_per_doc
mid_5_5_to_6_5,future,1,1500,1017,0.2538691962056915,0.3744383424862706
mid_5_5_to_6_5,others,1,1462,1178,0.29405891163255116,0.36495257114328505
mid_5_5_to_6_5,individuals,1,1457,987,0.24638042935596605,0.3637044433349975
mid_5_5_to_6_5,skills,1,1427,740,0.18472291562656015,0.3562156764852721
mid_5_5_to_6_5,public,1,1415,778,0.19420868696954569,0.35322016974538195
mid_5_5_to_6_5,due,1,1404,1091,0.2723414877683475,0.3504742885671493
mid_5_5_to_6_5,parents,1,1401,670,0.1672491263105342,0.34972541188217676
mid_5_5_to_6_5,become,1,1400,1017,0.2538691962056915,0.34947578632051923
mid_5_5_to_6_5,information,1,1382,676,0.16874687968047927,0.344982526210684
mid_5_5_to_6_5,countries,1,1361,788,0.1967049425861208,0.3397403894158762
mid_5_5_to_6_5,new,1,1354,826,0.20619071392910635,0.3379930104842736
mid_5_5_to_6_5,moreover,1,1349,1258,0.3140289565651523,0.336744882675986
mid_5_5_to_6_5,problems,1,1334,823,0.2054418372441338,0.3330004992511233
mid_5_5_to_6_5,jobs,1,1321,589,0.14702945581627558,0.32975536694957563
mid_5_5_to_6_5,human,1,1320,687,0.17149276085871193,0.3295057413879181
mid_5_5_to_6_5,important,1,1317,965,0.24088866699950076,0.3287568647029456
mid_5_5_to_6_5,use,1,1313,818,0.20419370943584622,0.3277583624563155
mid_5_5_to_6_5,need,1,1304,948,0.236645032451323,0.3255117324013979
mid_5_5_to_6_5,take,1,1300,961,0.2398901647528707,0.32451323015476785
mid_5_5_to_6_5,first,1,1277,1095,0.27333999001497755,0.318771842236645
mid_5_5_to_6_5,find,1,1270,837,0.208936595107339,0.3170244633050424
mid_5_5_to_6_5,knowledge,1,1263,815,0.2034448327508737,0.3152770843734398
mid_5_5_to_6_5,result,1,1261,1067,0.2663504742885672,0.3147778332501248
mid_5_5_to_6_5,environment,1,1238,670,0.1672491263105342,0.309036445332002
mid_5_5_to_6_5,health,1,1231,678,0.1692461308037943,0.3072890664003994
mid_5_5_to_6_5,climate change,2,567,184,0.04593110334498253,0.1415376934598103
mid_5_5_to_6_5,social media,2,562,251,0.06265601597603594,0.14028956565152273
mid_5_5_to_6_5,high school,2,273,163,0.04068896655017474,0.06814777833250125
mid_5_5_to_6_5,even though,2,253,237,0.05916125811283075,0.06315526709935097
mid_5_5_to_6_5,global warming,2,233,151,0.037693459810284574,0.0581627558662007
mid_5_5_to_6_5,public transport,2,208,114,0.028457314028956564,0.05192211682476285
mid_5_5_to_6_5,first foremost,2,206,205,0.05117324013979031,0.05142286570144783
mid_5_5_to_6_5,higher education,2,201,129,0.03220169745381927,0.05017473789316026
mid_5_5_to_6_5,artificial intelligence,2,178,95,0.023714428357463804,0.044433349975037444
mid_5_5_to_6_5,human beings,2,170,140,0.034947578632051925,0.042436345481777334
mid_5_5_to_6_5,main reason,2,169,163,0.04068896655017474,0.04218671992011982
mid_5_5_to_6_5,take care,2,168,131,0.0327009485771343,0.04193709435846231
mid_5_5_to_6_5,negative effects,2,164,142,0.03544682975536695,0.040938592111832255
mid_5_5_to_6_5,long term,2,164,136,0.03394907638542187,0.040938592111832255
mid_5_5_to_6_5,another reason,2,163,161,0.04018971542685971,0.04068896655017474
mid_5_5_to_6_5,several reasons,2,162,157,0.03919121318022965,0.040439340988517224
mid_5_5_to_6_5,recent years,2,161,156,0.038941587618572145,0.04018971542685971
mid_5_5_to_6_5,university college,2,161,96,0.023964053919121316,0.04018971542685971
mid_5_5_to_6_5,environmental problems,2,154,104,0.025961058412381426,0.038442336495257114
mid_5_5_to_6_5,history house,2,151,111,0.027708437343984024,0.037693459810284574
mid_5_5_to_6_5,community work,2,147,64,0.01597603594608088,0.03669495756365452
mid_5_5_to_6_5,air pollution,2,145,110,0.02745881178232651,0.03619570644033949
mid_5_5_to_6_5,video games,2,143,73,0.018222666000998502,0.035696455317024464
mid_5_5_to_6_5,get job,2,137,107,0.02670993509735397,0.03419870194707938
mid_5_5_to_6_5,economic growth,2,136,81,0.020219670494258612,0.03394907638542187
mid_5_5_to_6_5,successful career,2,135,101,0.025212181727408887,0.033699450823764354
mid_5_5_to_6_5,social skills,2,134,82,0.020469296055916127,0.03344982526210684
mid_5_5_to_6_5,well known,2,131,118,0.02945581627558662,0.0327009485771343
mid_5_5_to_6_5,public transportation,2,129,84,0.020968547179231155,0.03220169745381927
mid_5_5_to_6_5,house building,2,128,85,0.021218172740888667,0.03195207189216176
mid_5_5_to_6_5,mental health,2,125,107,0.02670993509735397,0.031203195207189217
mid_5_5_to_6_5,important role,2,124,121,0.03020469296055916,0.0309535696455317
mid_5_5_to_6_5,job opportunities,2,124,118,0.02945581627558662,0.0309535696455317
mid_5_5_to_6_5,vital role,2,122,121,0.03020469296055916,0.030454318522216674
mid_5_5_to_6_5,environmental issues,2,121,93,0.023215177234148777,0.03020469296055916
mid_5_5_to_6_5,negative impact,2,117,106,0.026460309535696454,0.029206190713929107
mid_5_5_to_6_5,main reasons,2,116,106,0.026460309535696454,0.02895656515227159
mid_5_5_to_6_5,computer games,2,114,45,0.011233150274588119,0.028457314028956564
mid_5_5_to_6_5,earn money,2,113,102,0.0254618072890664,0.028207688467299052
mid_5_5_to_6_5,education system,2,113,80,0.0199700449326011,0.028207688467299052
mid_5_5_to_6_5,family members,2,112,82,0.020469296055916127,0.027958062905641536
mid_5_5_to_6_5,amount money,2,110,94,0.023464802795806292,0.02745881178232651
mid_5_5_to_6_5,advantages disadvantages,2,106,100,0.02496255616575137,0.026460309535696454
mid_5_5_to_6_5,solve problem,2,106,95,0.023714428357463804,0.026460309535696454
mid_5_5_to_6_5,team sports,2,104,29,0.007239141288067898,0.025961058412381426
mid_5_5_to_6_5,every day,2,103,91,0.02271592611083375,0.025711432850723914
mid_5_5_to_6_5,getting job,2,102,82,0.020469296055916127,0.0254618072890664
mid_5_5_to_6_5,young generation,2,102,87,0.021717423864203694,0.0254618072890664
mid_5_5_to_6_5,unpaid work,2,101,63,0.015726410384423364,0.025212181727408887
mid_5_5_to_6_5,following paragraphs,2,101,101,0.025212181727408887,0.025212181727408887
mid_5_5_to_6_5,plays vital role,3,61,60,0.014977533699450823,0.015227159261108337
mid_5_5_to_6_5,artificially intelligent robots,3,55,36,0.008986520219670495,0.013729405891163254
mid_5_5_to_6_5,play important role,3,53,51,0.0127309036445332,0.013230154767848227
mid_5_5_to_6_5,history house building,3,52,39,0.009735396904643036,0.012980529206190713
mid_5_5_to_6_5,studying university college,3,51,37,0.009236145781328009,0.0127309036445332
mid_5_5_to_6_5,single sex schools,3,50,23,0.005741387918122816,0.012481278082875686
mid_5_5_to_6_5,plays important role,3,46,46,0.011482775836245632,0.011482775836245632
mid_5_5_to_6_5,conclusion even though,3,44,44,0.010983524712930605,0.010983524712930605
mid_5_5_to_6_5,unpaid community work,3,43,25,0.006240639041437843,0.010733899151273091
mid_5_5_to_6_5,playing video games,3,42,34,0.008487269096355467,0.010484273589615577
mid_5_5_to_6_5,play vital role,3,40,40,0.00998502246630055,0.00998502246630055
mid_5_5_to_6_5,job straight school,3,40,30,0.0074887668497254116,0.00998502246630055
mid_5_5_to_6_5,playing computer games,3,40,17,0.004243634548177734,0.00998502246630055
mid_5_5_to_6_5,use social media,3,38,26,0.006490264603095357,0.009485771342985522
mid_5_5_to_6_5,use public transport,3,38,32,0.00798801797304044,0.009485771342985522
mid_5_5_to_6_5,without shadow doubt,3,37,37,0.009236145781328009,0.009236145781328009
mid_5_5_to_6_5,high school students,3,35,28,0.006989515726410384,0.008736894658012981
mid_5_5_to_6_5,house building live,3,35,32,0.00798801797304044,0.008736894658012981
mid_5_5_to_6_5,social media platforms,3,33,29,0.007239141288067898,0.008237643534697954
mid_5_5_to_6_5,using social media,3,31,25,0.006240639041437843,0.007738392411382925
mid_5_5_to_6_5,increasing cost fuel,3,29,21,0.005242136794807789,0.007239141288067898
mid_5_5_to_6_5,live climate change,3,29,25,0.006240639041437843,0.007239141288067898
mid_5_5_to_6_5,jobs require human,3,29,16,0.00399400898652022,0.007239141288067898
mid_5_5_to_6_5,face face interaction,3,28,23,0.005741387918122816,0.006989515726410384
mid_5_5_to_6_5,play crucial role,3,28,28,0.006989515726410384,0.006989515726410384
mid_5_5_to_6_5,history houses buildings,3,28,26,0.006490264603095357,0.006989515726410384
mid_5_5_to_6_5,graduating high school,3,27,25,0.006240639041437843,0.00673989016475287
mid_5_5_to_6_5,prevent climate change,3,27,21,0.005242136794807789,0.00673989016475287
mid_5_5_to_6_5,children later age,3,26,19,0.004742885671492761,0.006490264603095357
mid_5_5_to_6_5,getting job straight,3,26,25,0.006240639041437843,0.006490264603095357
mid_5_5_to_6_5,huge amount money,3,25,23,0.005741387918122816,0.006240639041437843
mid_5_5_to_6_5,gap rich poor,3,25,15,0.0037443834248627058,0.006240639041437843
mid_5_5_to_6_5,production consumer goods,3,24,19,0.004742885671492761,0.005991013479780329
mid_5_5_to_6_5,perspectives heating debate,3,24,24,0.005991013479780329,0.005991013479780329
mid_5_5_to_6_5,team sports school,3,23,14,0.003494757863205192,0.005741387918122816
mid_5_5_to_6_5,instance survey conducted,3,22,22,0.0054917623564653024,0.0054917623564653024
mid_5_5_to_6_5,solve environmental problems,3,22,20,0.004992511233150275,0.0054917623564653024
