band_level,ngram,n,count,doc_freq,doc_pct,count_per_doc,other_count_per_doc,distinctiveness_score
mid_5_5_to_6_5,work,1,2802,1277,0.318771842236645,0.6994508237643535,0.6795398555081834,0.019910968256170114
mid_5_5_to_6_5,good,1,1569,1036,0.2586120818771842,0.39166250624063903,0.37231499630086534,0.01934750993977369
mid_5_5_to_6_5,take,1,1300,961,0.2398901647528707,0.32451323015476785,0.30667641089494524,0.01783681925982261
mid_5_5_to_6_5,others,1,1462,1178,0.29405891163255116,0.36495257114328505,0.34795757797352855,0.0169949931697565
mid_5_5_to_6_5,therefore,1,1652,1395,0.34822765851223164,0.4123814278582127,0.39715038193293817,0.015231045925274522
mid_5_5_to_6_5,first,1,1277,1095,0.27333999001497755,0.318771842236645,0.3039423484527342,0.014829493783910797
high_ge7,development,1,1037,729,0.21977690684353332,0.31263189629182997,0.0,0.31263189629182997
high_ge7,number,1,1018,774,0.23334338257461562,0.30690382876092853,0.0,0.30690382876092853
high_ge7,benefits,1,1000,779,0.2348507687669581,0.3014772384684956,0.0,0.3014772384684956
high_ge7,even,1,998,804,0.2423876997286705,0.30087428399155863,0.0,0.30087428399155863
high_ge7,individuals,1,1578,1000,0.3014772384684956,0.4757310823032861,0.33149189949708757,0.14423918280619852
high_ge7,conclusion,1,2157,2112,0.6367199276454628,0.6502864033765451,0.5609088486811962,0.08937755469534892
high_ge7,therefore,1,1507,1306,0.3937292734398553,0.4543261983720229,0.376177996676033,0.0781482016959899
high_ge7,public,1,1320,692,0.20862224902019896,0.3979499547784142,0.32179872412661215,0.07615123065180207
high_ge7,skills,1,1364,705,0.2125414531202894,0.411214953271028,0.33601373056989337,0.07520122270113466
high_ge7,instance,1,1756,1651,0.4977389207114863,0.5293940307506784,0.45797158437841334,0.07142244637226502
high_ge7,social,1,1539,750,0.2261079288513717,0.46397347000301475,0.40710654027437015,0.0568669297286446
high_ge7,example,1,2550,2123,0.6400361772686162,0.7687669580946639,0.7153029463858473,0.05346401170881654
high_ge7,countries,1,1222,681,0.20530599939704552,0.36840518540850165,0.31569469661552607,0.052710488792975574
high_ge7,young,1,1364,667,0.2010853180584866,0.411214953271028,0.35955202423156274,0.05166292903946529
high_ge7,better,1,1317,915,0.2758516731986735,0.3970455230630087,0.3639508943452139,0.03309462871779484
high_ge7,reasons,1,1314,1002,0.30208019294543265,0.3961410913476033,0.36536420464682373,0.03077688670077955
high_ge7,well,1,1540,1115,0.33614712089237264,0.46427494724148327,0.4349025423289398,0.02937240491254345
high_ge7,human,1,1132,564,0.17003316249623154,0.34127223394633704,0.31333277743410315,0.027939456512233896
high_ge7,health,1,1119,593,0.1787760024118179,0.3373530298462466,0.32130031955034805,0.016052710295898553
high_ge7,become,1,1179,871,0.2625866747060597,0.35544166415435635,0.3428175879461859,0.012624076208170465
high_ge7,take,1,1046,816,0.24600542659029243,0.3153451914380464,0.31126043025330596,0.0040847611847404375
high_ge7,however,1,1756,1458,0.43955381368706664,0.5293940307506784,0.5254806429609507,0.003913387789727718
high_ge7,due,1,1104,897,0.27042508290624057,0.3328308712692192,0.33144740286772045,0.001383468401498722
high_ge7,result,1,1048,930,0.2803738317757009,0.31594814591498344,0.3147778332501248,0.0011703126648586193
high_ge7,hand,1,1953,1310,0.39493518239372927,0.5887850467289719,0.5903564111230357,-0.0015713643940638011
high_ge7,use,1,1078,721,0.21736508893578535,0.3249924630690383,0.3266600205668606,-0.001667557497822325
high_ge7,others,1,1168,940,0.2833886041603859,0.3521254145312029,0.3543711562795696,-0.0022457417483667252
high_ge7,technology,1,1023,520,0.15676816400361773,0.308411214953271,0.3107248834251802,-0.0023136684719091694
high_ge7,important,1,1100,811,0.24449804039794995,0.3316249623153452,0.33436571509839946,-0.0027407527830542455
high_ge7,future,1,1186,777,0.23424781429002112,0.3575520048236358,0.36186944678361854,-0.004317441959982737
low_le5,day day,2,90,81,0.03433658329800763,0.03815175922000848,0.0,0.03815175922000848
low_le5,pay attention,2,79,69,0.029249682068673167,0.033488766426451884,0.0,0.033488766426451884
low_le5,single sex,2,67,19,0.008054260279779568,0.02840186519711742,0.0,0.02840186519711742
low_le5,due fact,2,61,56,0.02373887240356083,0.025858414582450192,0.0,0.025858414582450192
low_le5,later age,2,60,25,0.0105977108944468,0.02543450614667232,0.0,0.02543450614667232
low_le5,modern era,2,59,56,0.02373887240356083,0.025010597710894446,0.0,0.025010597710894446
low_le5,spend money,2,59,48,0.020347604917337857,0.025010597710894446,0.0,0.025010597710894446
low_le5,early age,2,58,48,0.020347604917337857,0.024586689275116574,0.0,0.024586689275116574
low_le5,fast food,2,57,39,0.016532428995337006,0.024162780839338704,0.0,0.024162780839338704
low_le5,video games,2,116,40,0.01695633743111488,0.04917337855023315,0.03262061234346852,0.01655276620676463
low_le5,history house,2,98,65,0.02755404832556168,0.04154302670623145,0.031960989778521846,0.009582036927709606
low_le5,vital role,2,86,82,0.0347604917337855,0.03645612547689699,0.02743698741908241,0.009019138057814582
low_le5,young generation,2,73,57,0.024162780839338704,0.030945315811784654,0.024940731802507273,0.006004584009277381
low_le5,advantages disadvantages,2,73,70,0.02967359050445104,0.030945315811784654,0.02589219878352504,0.005053117028259613
low_le5,community work,2,96,41,0.01738024586689275,0.040695209834675714,0.03669495756365452,0.004000252271021194
low_le5,main reason,2,93,86,0.03645612547689699,0.039423484527342095,0.03752386945659292,0.0018996150707491777
low_le5,get job,2,85,67,0.02840186519711742,0.03603221704111912,0.03419870194707938,0.0018335150940397421
low_le5,negative impact,2,69,57,0.024162780839338704,0.029249682068673167,0.02816957108804686,0.001080110980626308
low_le5,solve problem,2,63,53,0.022467147096227214,0.026706231454005934,0.026460309535696454,0.0002459219183094802
low_le5,important role,2,73,69,0.029249682068673167,0.030945315811784654,0.0309535696455317,-8.25383374704683e-06
low_le5,hard work,2,71,51,0.02161933022467147,0.03009749894022891,0.030147723846849564,-5.022490662065504e-05
low_le5,unpaid work,2,57,37,0.015684612123781264,0.024162780839338704,0.025212181727408887,-0.0010494008880701823
low_le5,family members,2,72,54,0.022891055532005086,0.03052140737600678,0.03161544990322776,-0.0010940425272209786
low_le5,university college,2,92,49,0.020771513353115726,0.03899957609156422,0.04018971542685971,-0.0011901393352954856
low_le5,getting job,2,57,40,0.01695633743111488,0.024162780839338704,0.0254618072890664,-0.0012990264497276943
low_le5,successful career,2,76,49,0.020771513353115726,0.03221704111911827,0.033699450823764354,-0.0014824097046460816
low_le5,first foremost,2,109,109,0.046206019499788045,0.046206019499788045,0.048925180212798076,-0.002719160713010031
low_le5,earn money,2,60,55,0.02331496396778296,0.02543450614667232,0.028207688467299052,-0.0027731823206267325
low_le5,social media,2,292,125,0.052988554472233995,0.12378126324713862,0.12682250365783854,-0.003041240410699919
low_le5,education system,2,57,39,0.016532428995337006,0.024162780839338704,0.028207688467299052,-0.004044907627960347
mid_5_5_to_6_5,climate change,2,567,184,0.04593110334498253,0.1415376934598103,0.09235644654568301,0.049181246914127286
mid_5_5_to_6_5,house building,2,128,85,0.021218172740888667,0.03195207189216176,0.0,0.03195207189216176
mid_5_5_to_6_5,following paragraphs,2,101,101,0.025212181727408887,0.025212181727408887,0.0,0.025212181727408887
mid_5_5_to_6_5,social media,2,562,251,0.06265601597603594,0.14028956565152273,0.11856835245564648,0.02172121319587625
